chip_start_seconds	        chip_end_seconds	        sensor_platform
2018-08-01 13:57:38.432000	2018-08-01 13:57:48.416000	adeon_en626_chb.amar493.4
2018-08-01 13:55:30.496000	2018-08-01 13:55:40.480000	adeon_en626_chb.amar493.4
2018-08-01 13:54:51.520000	2018-08-01 13:55:01.504000	adeon_en626_chb.amar493.4
2018-08-01 13:58:23.808000	2018-08-01 13:58:33.792000	adeon_en626_chb.amar493.4
2018-08-01 13:42:56.704000	2018-08-01 13:43:06.688000	adeon_en626_chb.amar493.4
2018-08-01 13:51:45.984000	2018-08-01 13:51:55.968000	adeon_en626_chb.amar493.4
2018-08-01 13:55:49.440000	2018-08-01 13:55:59.424000	adeon_en626_chb.amar493.4
2018-08-01 13:56:47.488000	2018-08-01 13:56:57.472000	adeon_en626_chb.amar493.4
2018-08-01 13:50:07.680000	2018-08-01 13:50:17.664000	adeon_en626_chb.amar493.4
2018-08-01 13:51:38.944000	2018-08-01 13:51:48.928000	adeon_en626_chb.amar493.4
2018-08-01 13:54:40.192000	2018-08-01 13:54:50.176000	adeon_en626_chb.amar493.4
2018-08-01 13:49:26.400000	2018-08-01 13:49:36.384000	adeon_en626_chb.amar493.4
2018-08-01 13:58:12.288000	2018-08-01 13:58:22.272000	adeon_en626_chb.amar493.4
2018-08-01 13:50:30.656000	2018-08-01 13:50:40.640000	adeon_en626_chb.amar493.4
2018-08-01 13:53:54.176000	2018-08-01 13:54:04.160000	adeon_en626_chb.amar493.4
2018-08-01 13:41:29.088000	2018-08-01 13:41:39.072000	adeon_en626_chb.amar493.4
2018-08-01 13:55:56.480000	2018-08-01 13:56:06.464000	adeon_en626_chb.amar493.4
2018-08-01 13:44:53.248000	2018-08-01 13:45:03.232000	adeon_en626_chb.amar493.4
2018-08-01 13:50:02.880000	2018-08-01 13:50:12.864000	adeon_en626_chb.amar493.4
2018-08-01 13:45:31.200000	2018-08-01 13:45:41.184000	adeon_en626_chb.amar493.4
2018-08-01 13:51:30.688000	2018-08-01 13:51:40.672000	adeon_en626_chb.amar493.4
2018-08-01 13:44:35.968000	2018-08-01 13:44:45.952000	adeon_en626_chb.amar493.4
2018-08-01 13:58:01.536000	2018-08-01 13:58:11.520000	adeon_en626_chb.amar493.4
2018-08-01 13:52:59.648000	2018-08-01 13:53:09.632000	adeon_en626_chb.amar493.4
2018-08-01 13:44:46.976000	2018-08-01 13:44:56.960000	adeon_en626_chb.amar493.4
2018-08-01 13:41:23.712000	2018-08-01 13:41:33.696000	adeon_en626_chb.amar493.4
2018-08-01 13:58:16.384000	2018-08-01 13:58:26.368000	adeon_en626_chb.amar493.4
2018-08-01 13:56:06.208000	2018-08-01 13:56:16.192000	adeon_en626_chb.amar493.4
2018-08-01 13:54:10.240000	2018-08-01 13:54:20.224000	adeon_en626_chb.amar493.4
2018-08-01 13:56:02.816000	2018-08-01 13:56:12.800000	adeon_en626_chb.amar493.4
2018-08-01 13:54:06.336000	2018-08-01 13:54:16.320000	adeon_en626_chb.amar493.4
2018-08-01 13:52:11.008000	2018-08-01 13:52:20.992000	adeon_en626_chb.amar493.4
2018-08-01 13:49:18.656000	2018-08-01 13:49:28.640000	adeon_en626_chb.amar493.4
2018-08-01 13:45:04.128000	2018-08-01 13:45:14.112000	adeon_en626_chb.amar493.4
2018-08-01 13:56:57.216000	2018-08-01 13:57:07.200000	adeon_en626_chb.amar493.4
2018-08-01 13:54:16.256000	2018-08-01 13:54:26.240000	adeon_en626_chb.amar493.4
2018-08-01 13:43:04.896000	2018-08-01 13:43:14.880000	adeon_en626_chb.amar493.4
2018-08-01 13:41:40.288000	2018-08-01 13:41:50.272000	adeon_en626_chb.amar493.4
2018-08-01 13:43:11.040000	2018-08-01 13:43:21.024000	adeon_en626_chb.amar493.4
2018-08-01 13:43:29.856000	2018-08-01 13:43:39.840000	adeon_en626_chb.amar493.4
2018-08-01 13:49:15.648000	2018-08-01 13:49:25.632000	adeon_en626_chb.amar493.4
2018-08-01 13:44:16.576000	2018-08-01 13:44:26.560000	adeon_en626_chb.amar493.4
2018-08-01 13:43:16.608000	2018-08-01 13:43:26.592000	adeon_en626_chb.amar493.4
2018-08-01 13:48:56.320000	2018-08-01 13:49:06.304000	adeon_en626_chb.amar493.4
2018-08-01 13:53:12.768000	2018-08-01 13:53:22.752000	adeon_en626_chb.amar493.4
2018-08-01 13:48:52.864000	2018-08-01 13:49:02.848000	adeon_en626_chb.amar493.4
2018-08-01 13:49:03.552000	2018-08-01 13:49:13.536000	adeon_en626_chb.amar493.4
2018-08-01 13:43:25.824000	2018-08-01 13:43:35.808000	adeon_en626_chb.amar493.4
2018-06-27 12:32:51.456000	2018-06-27 12:33:01.440000	adeon_en626_chb.amar493.4
2018-09-03 12:02:32.064000	2018-09-03 12:02:42.048000	adeon_en626_chb.amar493.4
2018-09-03 12:03:12.896000	2018-09-03 12:03:22.880000	adeon_en626_chb.amar493.4
2018-06-24 12:33:01.504000	2018-06-24 12:33:11.488000	adeon_en626_chb.amar493.4
2018-06-24 12:38:06.016000	2018-06-24 12:38:16	adeon_en626_chb.amar493.4
2018-10-22 10:45:31.904000	2018-10-22 10:45:41.888000	adeon_en626_chb.amar493.4
2018-10-22 10:46:03.200000	2018-10-22 10:46:13.184000	adeon_en626_chb.amar493.4
2018-10-22 10:45:11.232000	2018-10-22 10:45:21.216000	adeon_en626_chb.amar493.4
2018-10-22 10:45:46.688000	2018-10-22 10:45:56.672000	adeon_en626_chb.amar493.4
2018-10-22 10:45:36.256000	2018-10-22 10:45:46.240000	adeon_en626_chb.amar493.4
2018-10-22 10:46:07.808000	2018-10-22 10:46:17.792000	adeon_en626_chb.amar493.4
2018-10-22 10:45:00.928000	2018-10-22 10:45:10.912000	adeon_en626_chb.amar493.4
2018-10-22 10:45:17.632000	2018-10-22 10:45:27.616000	adeon_en626_chb.amar493.4
2018-10-22 10:45:44.640000	2018-10-22 10:45:54.624000	adeon_en626_chb.amar493.4
2018-10-05 08:45:44.320000	2018-10-05 08:45:54.304000	adeon_en626_chb.amar493.4
2018-10-05 08:45:58.528000	2018-10-05 08:46:08.512000	adeon_en626_chb.amar493.4
2018-10-05 08:46:07.424000	2018-10-05 08:46:17.408000	adeon_en626_chb.amar493.4
